"Changes in risk of wildlife species disappearance from Canada, 2012",,,,
,,,,
Wildlife species group,CESI change status - Higher risk (number of species),CESI change status - No change (number of species),CESI change status - Lower risk (number of species),
Amphibians,5,11,0,http://en.wikipedia.org/wiki/Amphibian
Arthropods,1,8,0,http://en.wikipedia.org/wiki/Arthropod
Birds,11,45,11,http://en.wikipedia.org/wiki/Bird
Fishes (freshwater),13,42,8,http://en.wikipedia.org/wiki/Fish
Fishes (marine),4,7,2,http://en.wikipedia.org/wiki/Fish
Lichens,1,3,1,http://en.wikipedia.org/wiki/Lichen
Mammals (marine),7,17,5,http://en.wikipedia.org/wiki/Mammal
Mammals (terrestrial),8,24,7,http://en.wikipedia.org/wiki/Mammal
Molluscs,2,9,1,http://en.wikipedia.org/wiki/Mollusca
Mosses,0,6,0,http://en.wikipedia.org/wiki/Moss
Reptiles,10,14,1,http://en.wikipedia.org/wiki/Reptile
Vascular plants,24,65,21,http://en.wikipedia.org/wiki/Vascular_plant
Total,86,251,57,
